Проверка штрафов — МЕСЯЦ (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;5000
26 - 50;0;6900
51 - 75;0;8100
76 - 100;0;9800
101 - 125;0;11200
126 - 150;0;13100
151 - 175;0;15000
176 - 200;0;16200
201 - 300;0;20000
301 - 400;0;22500
401 - 500;0;26200
501 - 600;0;28800
601 - 700;0;33100
701 - 800;0;35600
801 - 900;0;39400
901 - 1000;0;42500
1001 - 2000;0;65600
2001 - 3000;0;83800
3001 - 4000;0;100000
4001 - 5000;0;106200
5001 - ∞;18;0

Проверка штрафов — КВАРТАЛ (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;15000
26 - 50;0;20600
51 - 75;0;24400
76 - 100;0;29200
101 - 125;0;33800
126 - 150;0;39400
151 - 175;0;45000
176 - 200;0;48800
201 - 300;0;60000
301 - 400;0;67500
401 - 500;0;78800
501 - 600;0;86200
601 - 700;0;99400
701 - 800;0;106900
801 - 900;0;118100
901 - 1000;0;127500
1001 - 2000;0;196900
2001 - 3000;0;251200
3001 - 4000;0;300000
4001 - 5000;0;318800
5001 - ∞;54;0

Проверка штрафов — ПОЛГОДА (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;30000
26 - 50;0;41200
51 - 75;0;48800
76 - 100;0;58500
101 - 125;0;67500
126 - 150;0;78800
151 - 175;0;90000
176 - 200;0;97500
201 - 300;0;120000
301 - 400;0;135000
401 - 500;0;157500
501 - 600;0;172500
601 - 700;0;198800
701 - 800;0;213800
801 - 900;0;236200
901 - 1000;0;255000
1001 - 2000;0;393800
2001 - 3000;0;502500
3001 - 4000;0;600000
4001 - 5000;0;637500
5001 - ∞;109;0

Проверка штрафов — ГОД (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;48000
26 - 50;0;66000
51 - 75;0;78000
76 - 100;0;93600
101 - 125;0;108000
126 - 150;0;126000
151 - 175;0;144000
176 - 200;0;156000
201 - 300;0;192000
301 - 400;0;216000
401 - 500;0;252000
501 - 600;0;276000
601 - 700;0;318000
701 - 800;0;342000
801 - 900;0;378000
901 - 1000;0;408000
1001 - 2000;0;630000
2001 - 3000;0;804000
3001 - 4000;0;960000
4001 - 5000;0;1020000
5001 - ∞;174;0

