Платные проезды — МЕСЯЦ (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;1600
26 - 50;0;1900
51 - 75;0;2500
76 - 100;0;2800
101 - 125;0;3100
126 - 150;0;3800
151 - 175;0;4400
176 - 200;0;4700
201 - 300;0;5600
301 - 400;0;6600
401 - 500;0;7500
501 - 600;0;8400
601 - 700;0;9400
701 - 800;0;10300
801 - 900;0;11200
901 - 1000;0;12200
1001 - 2000;0;18800
2001 - 3000;0;23800
3001 - 4000;0;28100
4001 - 5000;0;30600
5001 - ∞;5;0

Платные проезды — КВАРТАЛ (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;4700
26 - 50;0;5600
51 - 75;0;7500
76 - 100;0;8400
101 - 125;0;9400
126 - 150;0;11200
151 - 175;0;13100
176 - 200;0;14100
201 - 300;0;16900
301 - 400;0;19700
401 - 500;0;22500
501 - 600;0;25300
601 - 700;0;28100
701 - 800;0;30900
801 - 900;0;33800
901 - 1000;0;36600
1001 - 2000;0;56200
2001 - 3000;0;71200
3001 - 4000;0;84400
4001 - 5000;0;91900
5001 - ∞;16;0

Платные проезды — ПОЛГОДА (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;9400
26 - 50;0;11200
51 - 75;0;15000
76 - 100;0;16900
101 - 125;0;18800
126 - 150;0;22500
151 - 175;0;26200
176 - 200;0;28100
201 - 300;0;33800
301 - 400;0;39400
401 - 500;0;45000
501 - 600;0;50600
601 - 700;0;56200
701 - 800;0;61900
801 - 900;0;67500
901 - 1000;0;73100
1001 - 2000;0;112500
2001 - 3000;0;142500
3001 - 4000;0;168800
4001 - 5000;0;183800
5001 - ∞;32;0

Платные проезды — ГОД (+25%)
Количество;Цена за единицу, ₽;Фиксированная сумма, ₽
0 - 25;0;15000
26 - 50;0;18000
51 - 75;0;24000
76 - 100;0;27000
101 - 125;0;30000
126 - 150;0;36000
151 - 175;0;42000
176 - 200;0;45000
201 - 300;0;54000
301 - 400;0;63000
401 - 500;0;72000
501 - 600;0;81000
601 - 700;0;90000
701 - 800;0;99000
801 - 900;0;108000
901 - 1000;0;117000
1001 - 2000;0;180000
2001 - 3000;0;228000
3001 - 4000;0;270000
4001 - 5000;0;294000
5001 - ∞;50;0

